name,country,site,continent,year_first_contact,relation_attained,lat,lng
Labour Party,United Kingdom,London,Europe,1950,mutual exchange of delegations,51.5074,-0.1278
SFIO,France,Paris,Europe,1951,mutual exchange of delegations,48.8566,2.3522
Norwegian Labour Party,Norway,Oslo,Europe,1951,mutual exchange of delegations,59.9139,10.7522
Socialist Party of Indonesia,Indonesia,Jakarta,Asia,1951,Informal contacts,-6.2088,106.8456
Burma Socialist Party,Myanmar,Rangoon,Asia,1949,mutual exchange of delegations,16.8409,96.1735
Danish Social Democrats ,Denmark,Copenhagen,Europe,1952,Informal contacts,55.6761,12.5683
Japan Socialist Party,Japan,Tokyo,Asia,1952,mutual exchange of delegations,35.6762,139.6503
Progressive Socialist Party,Lebanon,Beirut,Middle East,1950,mutual exchange of delegations,33.8938,35.5018
Social Democratic Party of Germany,Germany,Bonn,Europe,1952,Informal contacts,50.7374,7.0982
Socialist Party of Belgium,Belgium,Brussels,Europe,1952,mutual exchange of delegations,50.8503,4.3517
Socialist Party of India - Praja Socialist Party,India,New Delhi,Asia,1952,organic relations,28.6139,77.209
Swedish Social Democratic Party,Sweden,Stockholm,Europe,1952,organic relations,59.3293,18.0686
Asian Socialist Conference,Myanmar,Rangoon,Asia,1953,organic relations,16.8409,96.1735
Socialist Party of the Neatherlands,Neatherlands,Amsterdam,Europe,1954,Informal contacts,52.3676,4.9041
"Magazine ""Il Ponte""",Italy,Rome,Europe,1955,organic relations,41.9028,12.4964
Nationalist Party of Indonesia,Indonesia,Jakarta,Asia,1955,Informal contacts,-6.2088,106.8456
Social Democratic Party of Switzerland,Switzerland,Bern,Europe,1949,Informal contacts,46.948,7.4474
Arbeitsgemeinschaft sozialdemokratischer Akademiker,Germany,Munich,Europe,1955,Informal contacts,48.1351,11.582
Baath - Syria,Syria,Damascus,Middle East,1955,mutual exchange of delegations,33.5138,36.2765
Popular Socialist Party,Chile,Santiago,Latin America,1954,mutual exchange of delegations,-33.4489,-70.6693
Socialist Party of Uruguay,Uruguay,Montevideo,Latin America,1955,Informal contacts,-34.9011,-56.1645
Fabian Society,United Kingdom,London,Europe,1955,organic relations,51.5074,-0.1278
Mapai,Israel,Jerusalem,Middle East,1953,mutual exchange of delegations,31.7683,35.2137
Socialist Party of Brazil,Brazil,Brasília,Latin America,1954,Informal contacts,-15.7939,-47.8828
Socialist Party Argentina,Argentina,Buenos Aires,Latin America,1958,Informal contacts,-34.6037,-58.3816
Union de la gauche socialiste,France,Paris,Europe,1957,ceremonial relation,48.8566,2.3522
Italian Democratic Socialist Party,Italy,Rome,Europe,1956,Informal contacts,41.9028,12.4964
Italian Socialist Party,Italy,Rome,Europe,1957,mutual exchange of delegations,41.9028,12.4964
Austrian Socialist Party,Austria,Vienna,Europe,1953,Informal contacts,48.2082,16.3738
Spanish Socialist Party,Spain,Madrid,Europe,1953,organic relations,40.4168,-3.7038
Workers' Party,Brazil,Brasília,Latin America,1956,Informal contacts,-15.7939,-47.8828
Co-operative Commonwealth Federation,Canada,Ottawa,North America,1956,Informal contacts,45.4215,-75.6972
Socialist Party of Pakistan,Pakistan,Karachi,Asia,1957,Informal contacts,24.8607,67.0011
Sri Lanka Freedom Party,Sri Lanka,Colombo,Asia,1956,Informal contacts,6.9271,79.8612
APRA,Peru,Lima,Latin America,1957,Informal contacts,-12.0464,-77.0428
FLN,Algeria,Algiers,Middle East,1957,organic relations,36.7538,3.0588
Istiqlal,Morocco,Rabat,Middle East,1958,organic relations,34.0209,-6.8416
Union des Populations du Cameroun,Cameroon,Yaoundé,Africa,1958,organic relations,3.848,11.5021
Mapam,Israel,Jerusalem,Middle East,1958,organic relations,31.7683,35.2137
National Union,UAR,Cairo,Middle East,1957,organic relations,30.0444,31.2357
Neo Destour,Tunisia,Tunis,Middle East,1958,Informal contacts,36.8065,10.1815
Congress Party,India,New Delhi,Asia,1955,organic relations,28.6139,77.209
International Society for Socialist Studies,United Kingdom,London,Europe,1955,Informal contacts,51.5074,-0.1278
Círculos de Acción Socialista,Spain,Madrid,Europe,1957,organic relations,40.4168,-3.7038
Lanka Sama Samaja Party,Sri Lanka,Colombo,Asia,1958,Informal contacts,6.9271,79.8612
People's Democratic Party (PDP),Sudan,Khartoum,Africa,1957,Informal contacts,15.5007,32.5599
Convention People's Party (CPP),Ghana,Accra,Africa,1957,Informal contacts,5.6037,-0.187
Mau Mau movement,Kenya,Nairobi,Africa,1957,Informal contacts,-1.2864,36.8172
Somali Youth League,Somalia,Mogadishu,Africa,1957,Informal contacts,2.0469,45.3182
Juvento ,Togoland,Lomé,Africa,1957,Informal contacts,6.1256,1.2254
Union du Peuple Malgache (UPM),Madagascar,Antananarivo,Africa,1957,Informal contacts,-18.8792,47.5079
